Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'AUROPHARMA.NS')","('High', 'AUROPHARMA.NS')","('Low', 'AUROPHARMA.NS')","('Open', 'AUROPHARMA.NS')","('Volume', 'AUROPHARMA.NS')","('Date', '')","('Close', 'AUROPHARMA.NS')","('High', 'AUROPHARMA.NS')","('Low', 'AUROPHARMA.NS')","('Open', 'AUROPHARMA.NS')","('Volume', 'AUROPHARMA.NS')"
2019-12-30,444.9725036621094,460.2999877929688,471.8999938964844,456.8500061035156,459.6000061035156,5187434.0,,,,,,,,,,,,
2020-01-06,442.7007446289063,457.9500122070313,465.3999938964844,442.0,458.3999938964844,8572995.0,,,,,,,,,,,,
2020-01-13,469.7683715820313,485.9500122070313,489.9500122070313,456.6499938964844,460.0,14599284.0,,,,,,,,,,,,
2020-01-20,484.4139404296875,501.1000061035156,510.8999938964844,472.0,485.0,20097377.0,,,,,,,,,,,,
2020-01-27,451.9327392578125,467.5,518.0,460.2000122070313,499.6000061035156,26284425.0,,,,,,,,,,,,
2020-02-03,528.3504638671875,546.5499877929688,553.5499877929688,465.0,465.3500061035156,31073497.0,,,,,,,,,,,,
2020-02-10,497.2226867675781,514.3499755859375,555.9500122070312,512.4000244140625,548.2000122070312,22494172.0,,,,,,,,,,,,
2020-02-17,579.779052734375,599.75,617.5499877929688,482.2999877929688,515.0499877929688,51356633.0,,,,,,,,,,,,
2020-02-24,490.335693359375,505.5,539.7999877929688,489.3999938964844,539.7999877929688,40542987.0,,,,,,,,,,,,
2020-03-02,494.99169921875,510.2999877929688,534.2999877929688,490.0,512.5,16309505.0,,,,,,,,,,,,
2020-03-09,402.74462890625,415.2000122070313,506.0,340.0,503.0,23338136.0,,,,,,,,,,,,
2020-03-16,336.2994384765625,346.70001220703125,444.8999938964844,341.0,400.0,37288613.0,,,,,,,,,,,,
2020-03-23,380.4830017089844,392.25,407.0499877929688,288.8500061035156,329.3999938964844,24738597.0,,,,,,,,,,,,
2020-03-30,370.9284973144531,382.3999938964844,416.1499938964844,333.5,388.0,28860653.0,,,,,,,,,,,,
2020-04-06,446.3946228027344,460.2000122070313,476.2999877929688,382.3999938964844,382.3999938964844,34203723.0,,,,,,,,,,,,
2020-04-13,526.4197998046875,542.7000122070312,568.1500244140625,463.5,466.0,44509658.0,,,,,,,,,,,,
2020-04-20,605.7173461914062,624.4500122070312,684.0499877929688,525.5,544.25,103032512.0,,,,,,,,,,,,
2020-04-27,607.0752563476562,625.8499755859375,642.9500122070312,609.0499877929688,630.0,25500740.0,,,,,,,,,,,,
2020-05-04,633.0713500976562,652.6500244140625,681.5999755859375,603.0,611.0,44817405.0,,,,,,,,,,,,
2020-05-11,645.00244140625,664.9500122070312,701.0,647.25,651.0,34498725.0,,,,,,,,,,,,
2020-05-18,708.9739990234375,730.9000244140625,733.7000122070312,654.5999755859375,665.0,32207937.0,,,,,,,,,,,,
2020-05-25,723.281494140625,745.6500244140625,750.3499755859375,703.0999755859375,730.9000244140625,19029738.0,,,,,,,,,,,,
2020-06-01,721.6810302734375,744.0,791.0,722.0,744.0,40844643.0,,,,,,,,,,,,
2020-06-08,748.550048828125,771.7000122070312,805.4500122070312,728.7999877929688,754.75,31170888.0,,,,,,,,,,,,
2020-06-15,759.9476318359375,783.4500122070312,798.0999755859375,756.0999755859375,766.0999755859375,17050038.0,,,,,,,,,,,,
