Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'COALINDIA.NS')","('High', 'COALINDIA.NS')","('Low', 'COALINDIA.NS')","('Open', 'COALINDIA.NS')","('Volume', 'COALINDIA.NS')","('Date', '')","('Close', 'COALINDIA.NS')","('High', 'COALINDIA.NS')","('Low', 'COALINDIA.NS')","('Open', 'COALINDIA.NS')","('Volume', 'COALINDIA.NS')"
2019-12-30,126.75484466552734,211.8500061035156,212.8000030517578,207.6999969482422,211.3500061035156,18858573.0,,,,,,,,,,,,
2020-01-06,122.83582305908205,205.3000030517578,209.9499969482422,197.3500061035156,209.9499969482422,43247048.0,,,,,,,,,,,,
2020-01-13,124.39147186279295,207.8999938964844,214.6000061035156,205.0,205.3000030517578,33067634.0,,,,,,,,,,,,
2020-01-20,116.04485321044922,193.9499969482422,209.8000030517578,189.8500061035156,208.0,60550972.0,,,,,,,,,,,,
2020-01-27,103.80915069580078,173.5,195.0,171.0500030517578,193.9499969482422,97517182.0,,,,,,,,,,,,
2020-02-03,110.71980285644533,185.0500030517578,186.0500030517578,172.14999389648438,174.89999389648438,55185232.0,,,,,,,,,,,,
2020-02-10,104.55704498291016,174.75,185.0,174.1999969482422,184.8999938964844,77907439.0,,,,,,,,,,,,
2020-02-17,107.30934143066406,179.35000610351562,180.25,165.0,174.75,81510280.0,,,,,,,,,,,,
2020-02-24,100.7576904296875,168.39999389648438,178.89999389648438,166.75,178.75,60607752.0,,,,,,,,,,,,
2020-03-02,100.96711730957033,168.75,180.1999969482422,166.5,172.64999389648438,61816050.0,,,,,,,,,,,,
2020-03-09,92.20167541503906,154.10000610351562,169.89999389648438,123.6500015258789,165.8000030517578,128946584.0,,,,,,,,,,,,
2020-03-16,79.45738220214844,132.8000030517578,155.39999389648438,122.0,150.9499969482422,113839513.0,,,,,,,,,,,,
2020-03-23,85.90625762939453,131.6999969482422,135.0,119.1999969482422,122.5,82911472.0,,,,,,,,,,,,
2020-03-30,89.85259246826172,137.75,142.35000610351562,127.1999969482422,127.5500030517578,47124045.0,,,,,,,,,,,,
2020-04-06,91.8420639038086,140.8000030517578,143.39999389648438,137.0,137.75,20352054.0,,,,,,,,,,,,
2020-04-13,97.02774047851562,148.75,152.4499969482422,138.35000610351562,140.8000030517578,38010207.0,,,,,,,,,,,,
2020-04-20,89.36336517333984,137.0,149.89999389648438,135.0,149.89999389648438,38499625.0,,,,,,,,,,,,
2020-04-27,96.86468505859376,148.5,149.4499969482422,134.4499969482422,139.0,31847511.0,,,,,,,,,,,,
2020-05-04,84.14507293701172,129.0,147.25,128.5500030517578,144.6999969482422,48620541.0,,,,,,,,,,,,
2020-05-11,84.53646087646484,129.60000610351562,132.5,125.3000030517578,130.14999389648438,37881915.0,,,,,,,,,,,,
2020-05-18,81.6663818359375,125.1999969482422,127.0,121.0500030517578,127.0,55275271.0,,,,,,,,,,,,
2020-05-25,92.16820526123048,141.3000030517578,142.4499969482422,125.0,125.1999969482422,36358036.0,,,,,,,,,,,,
2020-06-01,94.4838409423828,144.85000610351562,149.75,139.35000610351562,142.10000610351562,67612801.0,,,,,,,,,,,,
2020-06-08,87.83049774169922,134.64999389648438,148.9499969482422,132.6999969482422,148.0,44814745.0,,,,,,,,,,,,
2020-06-15,89.52645874023438,137.25,140.0,128.14999389648438,134.6999969482422,76475069.0,,,,,,,,,,,,
2020-06-22,92.69004821777344,142.10000610351562,146.75,137.10000610351562,137.25,82953924.0,,,,,,,,,,,,
2020-06-29,88.22187042236328,135.25,140.85000610351562,131.39999389648438,140.5500030517578,49401236.0,,,,,,,,,,,,
2020-07-06,85.5801010131836,131.1999969482422,137.5,128.1999969482422,136.3000030517578,68128645.0,,,,,,,,,,,,
2020-07-13,85.18872833251953,130.60000610351562,132.4499969482422,124.5999984741211,131.8000030517578,45128595.0,,,,,,,,,,,,
2020-07-20,85.84101867675781,131.60000610351562,136.6999969482422,130.0,133.5,55061254.0,,,,,,,,,,,,
2020-07-27,84.30815124511719,129.25,132.5,127.5500030517578,131.60000610351562,27430852.0,,,,,,,,,,,,
2020-08-03,84.63428497314453,129.75,131.6999969482422,128.10000610351562,129.89999389648438,33141855.0,,,,,,,,,,,,
2020-08-10,86.00409698486328,131.85000610351562,134.25,128.3000030517578,130.3000030517578,54725770.0,,,,,,,,,,,,
2020-08-17,90.9940948486328,139.5,141.8000030517578,132.35000610351562,133.5,80558300.0,,,,,,,,,,,,
2020-08-24,90.70056915283205,139.0500030517578,143.9499969482422,138.64999389648438,140.6999969482422,54903085.0,,,,,,,,,,,,
2020-08-31,86.39546966552734,132.4499969482422,142.14999389648438,130.6999969482422,139.25,73311136.0,,,,,,,,,,,,
2020-09-07,81.60116577148438,125.0999984741211,133.8000030517578,124.6500015258789,133.0,53785300.0,,,,,,,,,,,,
2020-09-14,80.65533447265625,123.6500015258789,126.8499984741211,122.9000015258789,126.0,59604493.0,,,,,,,,,,,,
2020-09-21,76.38286590576172,117.0999984741211,124.1500015258789,113.9000015258789,123.6500015258789,60865455.0,,,,,,,,,,,,
2020-09-28,76.48069763183594,117.25,121.5500030517578,114.6500015258789,117.9000015258789,45506822.0,,,,,,,,,,,,
2020-10-05,74.94783020019531,114.9000015258789,119.5,112.3000030517578,117.9499969482422,58924342.0,,,,,,,,,,,,
