Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'RAJESHEXPO.NS')","('High', 'RAJESHEXPO.NS')","('Low', 'RAJESHEXPO.NS')","('Open', 'RAJESHEXPO.NS')","('Volume', 'RAJESHEXPO.NS')","('Date', '')","('Close', 'RAJESHEXPO.NS')","('High', 'RAJESHEXPO.NS')","('Low', 'RAJESHEXPO.NS')","('Open', 'RAJESHEXPO.NS')","('Volume', 'RAJESHEXPO.NS')"
2019-12-30,689.6678466796875,693.2000122070312,697.0,670.4500122070312,670.5,370961.0,,,,,,,,,,,,
2020-01-06,697.0300903320312,700.5999755859375,706.5,672.0,694.0,1187834.0,,,,,,,,,,,,
2020-01-13,708.4217529296875,712.0499877929688,727.0,696.5,702.0,715458.0,,,,,,,,,,,,
2020-01-20,711.5060424804688,715.1500244140625,728.0,701.5999755859375,707.5,2082330.0,,,,,,,,,,,,
2020-01-27,718.2216186523438,721.9000244140625,729.9500122070312,714.5,716.0999755859375,1647757.0,,,,,,,,,,,,
2020-02-03,698.92041015625,702.5,734.0,701.0,726.2999877929688,844709.0,,,,,,,,,,,,
2020-02-10,701.5071411132812,705.0999755859375,780.5,703.0,703.0,1398375.0,,,,,,,,,,,,
2020-02-17,660.7161254882812,664.0999755859375,727.4000244140625,661.0,709.0999755859375,695763.0,,,,,,,,,,,,
2020-02-24,654.8461303710938,658.2000122070312,672.7000122070312,638.0,664.5499877929688,536245.0,,,,,,,,,,,,
2020-03-02,677.1817626953125,680.6500244140625,689.9500122070312,661.0,669.0,254460.0,,,,,,,,,,,,
2020-03-09,603.4096069335938,606.5,690.0,603.0,679.0,440836.0,,,,,,,,,,,,
2020-03-16,582.765380859375,585.75,646.5999755859375,577.0,603.5,393121.0,,,,,,,,,,,,
2020-03-23,575.0050659179688,577.9500122070312,618.0,537.5,574.0,225070.0,,,,,,,,,,,,
2020-03-30,628.8294067382812,632.0499877929688,649.9500122070312,522.9000244140625,590.0,368936.0,,,,,,,,,,,,
2020-04-06,611.0206298828125,614.1500244140625,656.0,611.0,632.0499877929688,182889.0,,,,,,,,,,,,
2020-04-13,544.4614868164062,547.25,618.2999877929688,540.5499877929688,616.5,266967.0,,,,,,,,,,,,
2020-04-20,527.5978393554688,530.2999877929688,563.9500122070312,529.0,548.5,205757.0,,,,,,,,,,,,
2020-04-27,615.6469116210938,618.7999877929688,655.0,520.2000122070312,532.9500122070312,1034982.0,,,,,,,,,,,,
2020-05-04,525.1106567382812,527.7999877929688,612.9500122070312,526.0,601.1500244140625,469796.0,,,,,,,,,,,,
2020-05-11,520.583740234375,523.25,548.5499877929688,520.5,537.5,306088.0,,,,,,,,,,,,
2020-05-18,505.1627502441406,507.75,527.9500122070312,503.0,520.0,240441.0,,,,,,,,,,,,
2020-05-25,485.2149353027344,487.7000122070313,544.0,475.0,507.75,544155.0,,,,,,,,,,,,
2020-06-01,483.3245849609375,485.7999877929688,506.3500061035156,475.0,490.1499938964844,935829.0,,,,,,,,,,,,
2020-06-08,477.90240478515625,480.3500061035156,503.9500122070313,465.0499877929688,491.75,894902.0,,,,,,,,,,,,
2020-06-15,465.5158081054688,467.8999938964844,496.6499938964844,464.0499877929688,485.3999938964844,757428.0,,,,,,,,,,,,
2020-06-22,474.27099609375,476.7000122070313,495.0,468.3500061035156,469.9500122070313,748272.0,,,,,,,,,,,,
2020-06-29,481.2850646972656,483.75,487.25,462.0,477.5,827851.0,,,,,,,,,,,,
2020-07-06,471.3857421875,473.7999877929688,495.0,472.5,487.3500061035156,506869.0,,,,,,,,,,,,
2020-07-13,465.31683349609375,467.7000122070313,481.4500122070313,458.0,475.0,595194.0,,,,,,,,,,,,
2020-07-20,466.56048583984375,468.9500122070313,482.0,461.7999877929688,468.2999877929688,396822.0,,,,,,,,,,,,
2020-07-27,454.3231201171875,456.6499938964844,475.1499938964844,453.25,470.0,324989.0,,,,,,,,,,,,
2020-08-03,456.2134704589844,458.5499877929688,494.8999938964844,441.0,456.8999938964844,1430841.0,,,,,,,,,,,,
2020-08-10,458.4519653320313,460.7999877929688,474.0,457.0,462.5,342556.0,,,,,,,,,,,,
2020-08-17,467.8538818359375,470.25,476.8500061035156,460.0,462.9500122070313,361662.0,,,,,,,,,,,,
2020-08-24,462.5808715820313,464.9500122070313,482.0,463.2999877929688,477.0,460158.0,,,,,,,,,,,,
2020-08-31,442.0858459472656,444.3500061035156,470.0,441.0,466.9500122070313,688510.0,,,,,,,,,,,,
2020-09-07,449.3486328125,451.6499938964844,463.0,443.0,452.5,369064.0,,,,,,,,,,,,
2020-09-14,506.754638671875,509.3500061035156,516.9000244140625,451.0,452.5,1340289.0,,,,,,,,,,,,
2020-09-21,450.59222412109375,452.8999938964844,537.0,442.0,513.7000122070312,1503041.0,,,,,,,,,,,,
2020-09-28,454.5718688964844,456.8999938964844,472.9500122070313,445.0499877929688,455.8999938964844,583134.0,,,,,,,,,,,,
2020-10-05,449.29888916015625,451.6000061035156,493.3500061035156,449.0,457.0,759000.0,,,,,,,,,,,,
2020-10-12,443.826904296875,446.1000061035156,454.8999938964844,444.0,454.8999938964844,335885.0,,,,,,,,,,,,
2020-10-19,454.0744323730469,456.3999938964844,472.0,445.0,447.8999938964844,369040.0,,,,,,,,,,,,
2020-10-26,459.2976684570313,461.6499938964844,466.0,445.0499877929688,458.6499938964844,379375.0,,,,,,,,,,,,
2020-11-02,450.59222412109375,452.8999938964844,465.3500061035156,441.0,465.3500061035156,396752.0,,,,,,,,,,,,
2020-11-09,458.3525390625,460.7000122070313,463.0,447.0,454.9500122070313,437238.0,,,,,,,,,,,,
2020-11-16,449.0003967285156,451.2999877929688,478.8500061035156,450.2999877929688,456.2999877929688,393338.0,,,,,,,,,,,,
2020-11-23,448.10498046875,450.3999938964844,458.0,447.5,455.0,539568.0,,,,,,,,,,,,
