Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BRIGADE.NS')","('High', 'BRIGADE.NS')","('Low', 'BRIGADE.NS')","('Open', 'BRIGADE.NS')","('Volume', 'BRIGADE.NS')","('Date', '')","('Close', 'BRIGADE.NS')","('High', 'BRIGADE.NS')","('Low', 'BRIGADE.NS')","('Open', 'BRIGADE.NS')","('Volume', 'BRIGADE.NS')"
2019-12-30,211.70835876464844,215.6000061035156,221.0,212.3999938964844,220.0,195910.0,,,,,,,,,,,,
2020-01-06,221.0859832763672,225.1499938964844,234.6499938964844,210.1499938964844,216.3999938964844,1478212.0,,,,,,,,,,,,
2020-01-13,225.94664001464844,230.1000061035156,237.9499969482422,223.1000061035156,223.1000061035156,298081.0,,,,,,,,,,,,
2020-01-20,224.86648559570312,229.0,233.3500061035156,224.0,231.0,341848.0,,,,,,,,,,,,
2020-01-27,218.5329132080078,222.5500030517578,246.8999938964844,220.0500030517578,225.3000030517578,1550565.0,,,,,,,,,,,,
2020-02-03,231.39645385742188,235.6499938964844,242.4499969482422,216.5,218.5,950446.0,,,,,,,,,,,,
2020-02-10,223.1971893310547,227.3000030517578,239.0,225.0500030517578,233.0500030517578,409410.0,,,,,,,,,,,,
2020-02-17,236.5026092529297,240.8500061035156,254.8999938964844,223.0,226.1999969482422,737307.0,,,,,,,,,,,,
2020-02-24,227.3704833984375,231.5500030517578,241.9499969482422,221.0,235.5500030517578,1534040.0,,,,,,,,,,,,
2020-03-02,214.70330810546875,218.6499938964844,237.25,212.0,231.0,432531.0,,,,,,,,,,,,
2020-03-09,185.39212036132807,188.8000030517578,216.0,155.5,215.0,1230051.0,,,,,,,,,,,,
2020-03-16,153.87152099609375,156.6999969482422,195.0,151.9499969482422,182.0,2055238.0,,,,,,,,,,,,
2020-03-23,124.51123809814452,126.8000030517578,154.25,107.6999969482422,132.10000610351562,1551666.0,,,,,,,,,,,,
2020-03-30,128.57217407226562,130.10000610351562,148.60000610351562,118.0,126.8000030517578,306775.0,,,,,,,,,,,,
2020-04-06,144.7301483154297,146.4499969482422,149.9499969482422,125.0,130.10000610351562,469899.0,,,,,,,,,,,,
2020-04-13,131.28985595703125,132.85000610351562,151.3000030517578,128.0,148.89999389648438,1170361.0,,,,,,,,,,,,
2020-04-20,118.64019775390624,120.0500030517578,141.0,119.4499969482422,136.0,1536948.0,,,,,,,,,,,,
2020-04-27,118.14605712890624,119.5500030517578,124.0,116.0,120.1500015258789,475001.0,,,,,,,,,,,,
2020-05-04,104.55753326416016,105.8000030517578,120.5999984741211,100.1500015258789,119.25,1163654.0,,,,,,,,,,,,
2020-05-11,99.3197784423828,100.5,109.9000015258789,98.1500015258789,108.5,1319506.0,,,,,,,,,,,,
2020-05-18,92.79728698730467,93.9000015258789,100.9499969482422,90.5,100.9499969482422,893447.0,,,,,,,,,,,,
2020-05-25,99.12212371826172,100.3000030517578,105.8000030517578,93.75,93.9000015258789,1754751.0,,,,,,,,,,,,
2020-06-01,118.04722595214844,119.4499969482422,121.0,102.0,104.4000015258789,1541250.0,,,,,,,,,,,,
2020-06-08,127.78156280517578,129.3000030517578,140.89999389648438,106.0999984741211,124.6999969482422,1229295.0,,,,,,,,,,,,
2020-06-15,140.7277069091797,142.39999389648438,145.0,116.0,131.89999389648438,2858866.0,,,,,,,,,,,,
2020-06-22,142.35836791992188,144.0500030517578,158.0,137.0,158.0,3645345.0,,,,,,,,,,,,
2020-06-29,130.59808349609375,132.14999389648438,143.6999969482422,129.75,143.0,957434.0,,,,,,,,,,,,
2020-07-06,139.7888641357422,141.4499969482422,159.8000030517578,131.6999969482422,141.0,6129376.0,,,,,,,,,,,,
